"codigo_intervencion","fecha_registro_intervencion","nombre_intervencion","objetivo_general","fecha_inicial","fecha_final","estado_intervencion","modalidad_cooperacion","plan_nacional_desarrollo","hoja_ruta","ods","sectores_gobierno","nombre_del_actor","tipo_de_actor","pais_del_actor","rol_del_actor","tipo_de_asistencia","monto_aporte_en_usd","es_adicion","total_territorios"
"R-BL-17-12934","2017-12-21T00:00:00.000","Promoción y protección de las mujeres en la defensa de los derechos humanos en el marco de la implementáción del acuerdo de paz.","El proyecto tiene como propósito proteger los derechos humanos, especialmente el Derecho a la vida, de aquellas mujeres que luchan contra la violencia de género pues se ven e condiciones de vulnerabilidad debido a sus acciones contra las agresiones hacia las mujeres.","2017-12-21T00:00:00.000","2019-12-21T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.4 Promoción, respeto y protección de Derechos Humanos.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","05. Igualdad de género","Protección Social","CHRISTIAN AID COLOMBIA","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/ORGANIZACIONES RELIGIOSAS BASADAS EN LA FÉ","Colombia","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-BL-17-12934","2017-12-21T00:00:00.000","Promoción y protección de las mujeres en la defensa de los derechos humanos en el marco de la implementáción del acuerdo de paz.","El proyecto tiene como propósito proteger los derechos humanos, especialmente el Derecho a la vida, de aquellas mujeres que luchan contra la violencia de género pues se ven e condiciones de vulnerabilidad debido a sus acciones contra las agresiones hacia las mujeres.","2017-12-21T00:00:00.000","2019-12-21T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.4 Promoción, respeto y protección de Derechos Humanos.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","05. Igualdad de género","Protección Social","SISMA MUJER","NACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-BL-17-12934","2017-12-21T00:00:00.000","Promoción y protección de las mujeres en la defensa de los derechos humanos en el marco de la implementáción del acuerdo de paz.","El proyecto tiene como propósito proteger los derechos humanos, especialmente el Derecho a la vida, de aquellas mujeres que luchan contra la violencia de género pues se ven e condiciones de vulnerabilidad debido a sus acciones contra las agresiones hacia las mujeres.","2017-12-21T00:00:00.000","2019-12-21T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.4 Promoción, respeto y protección de Derechos Humanos.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","05. Igualdad de género","Protección Social","UNIÓN EUROPEA","INTERNACIONAL/ORGANISMO MULTILATERAL/REGIONAL","Bélgica","| Donante","| Asistencia Técnica","636713.7573","SI","1"
"R-BL-17-12941","2017-12-30T00:00:00.000","Proyecto la Paz Unica Esperanza para el Desarrollo Económico y Social - PUEDES.","Mejorar las condiciones de vida de la población local en el marco de la implementación del Acuerdo de Paz.","2017-12-30T00:00:00.000","2020-12-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/01. Competitividad e infraestructura estratégicas/1.2 Desarrollo productivo.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","11. Ciudades y comunidades sostenibles","Corporaciones Autónomas Regionales y de Desarrollo Sostenible","COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI - CISP","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Italia","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-BL-17-12941","2017-12-30T00:00:00.000","Proyecto la Paz Unica Esperanza para el Desarrollo Económico y Social - PUEDES.","Mejorar las condiciones de vida de la población local en el marco de la implementación del Acuerdo de Paz.","2017-12-30T00:00:00.000","2020-12-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/01. Competitividad e infraestructura estratégicas/1.2 Desarrollo productivo.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","11. Ciudades y comunidades sostenibles","Corporaciones Autónomas Regionales y de Desarrollo Sostenible","FONDO UNION EUROPEA","INTERNACIONAL/ORGANISMO MULTILATERAL/REGIONAL","Colombia","| Donante","| Asistencia Técnica","3222289.809","SI","1"
"R-AO-18-345","2018-01-01T00:00:00.000","desafíos de las fuerzas de seguridad para la construcción de paz y la prevención de la deforestación","1. continuación de la facilitación del diálogo entre las Fuerzas Armadas y la sociedad civil, sobre temas como construcción de paz, justicia transicional, reforma del sector seguridad, derechos humanos y género, entre otros. 2. ampliación y el fortalecimiento de la capacidad de la Fuerza Pública para responder a los retos de la deforestación y el cambio climático y con ello contribuir a preservar los recursos naturales y reducir la deforestación.","2018-01-01T00:00:00.000","2020-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.2 Fortalecer los mecanismos de transición hacia la paz.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz/4.3.5. Espacios de Diálogo","16.10.Garantizar el acceso público a la información y proteger las libertades fundamentales, de conformidad con la legislación nacional y los acuerdos internacionales.","Presidencia de la República","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","527047","SI","1"
"R-AO-18-345","2018-01-01T00:00:00.000","desafíos de las fuerzas de seguridad para la construcción de paz y la prevención de la deforestación","1. continuación de la facilitación del diálogo entre las Fuerzas Armadas y la sociedad civil, sobre temas como construcción de paz, justicia transicional, reforma del sector seguridad, derechos humanos y género, entre otros. 2. ampliación y el fortalecimiento de la capacidad de la Fuerza Pública para responder a los retos de la deforestación y el cambio climático y con ello contribuir a preservar los recursos naturales y reducir la deforestación.","2018-01-01T00:00:00.000","2020-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.2 Fortalecer los mecanismos de transición hacia la paz.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz/4.3.5. Espacios de Diálogo","16.10.Garantizar el acceso público a la información y proteger las libertades fundamentales, de conformidad con la legislación nacional y los acuerdos internacionales.","Presidencia de la República","SOCIAL DEVELOPMENT GROUP – SDG","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/ASOCIACIONES Y OTROS","Colombia","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-18-346","2018-01-01T00:00:00.000","Petróleo, comunidades y consolidación de la paz en Colombia.","fortalecer la gobernanza del sector petrolero en Colombia para evitar conflictos y promover la construcción de paz.","2018-01-01T00:00:00.000","2020-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.4 Promoción, respeto y protección de Derechos Humanos.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz/5.6.1. Promoción, respeto y garantía de los derechos humanos","16.6.Desarrollar instituciones eficaces, responsables y transparentes a todos los niveles.","Minas y Energía","CRUDO TRANSPARENTE","NACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/ASOCIACIONES Y OTROS","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-18-346","2018-01-01T00:00:00.000","Petróleo, comunidades y consolidación de la paz en Colombia.","fortalecer la gobernanza del sector petrolero en Colombia para evitar conflictos y promover la construcción de paz.","2018-01-01T00:00:00.000","2020-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.4 Promoción, respeto y protección de Derechos Humanos.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz/5.6.1. Promoción, respeto y garantía de los derechos humanos","16.6.Desarrollar instituciones eficaces, responsables y transparentes a todos los niveles.","Minas y Energía","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","467836","SI","1"
"R-AO-18-347","2018-01-01T00:00:00.000","Prácticas de pesca sostenible: reducción de la pobreza en Colombia","reducir la pobreza de los pescadores costeros colombianos en pequeña escala a través de sistemas mejorados de gestión y producción pesquera, y fortalecer la capacidad para gestionar de manera sostenible las zonas costeras donde se centrará el proyecto.","2018-01-01T00:00:00.000","2022-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/01. Competitividad e infraestructura estratégicas/1.2 Desarrollo productivo.","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental/4.1.9. Sostenibilidad y recuperación ambiental","14.b.Proporcionar acceso de los pescadores artesanales de pequeña escala a los recursos marinos y los mercados.","Agricultura y Desarrollo Rural","CONSERVACION INTERNACIONAL","NACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/ASOCIACIONES Y OTROS","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-18-347","2018-01-01T00:00:00.000","Prácticas de pesca sostenible: reducción de la pobreza en Colombia","reducir la pobreza de los pescadores costeros colombianos en pequeña escala a través de sistemas mejorados de gestión y producción pesquera, y fortalecer la capacidad para gestionar de manera sostenible las zonas costeras donde se centrará el proyecto.","2018-01-01T00:00:00.000","2022-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/01. Competitividad e infraestructura estratégicas/1.2 Desarrollo productivo.","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental/4.1.9. Sostenibilidad y recuperación ambiental","14.b.Proporcionar acceso de los pescadores artesanales de pequeña escala a los recursos marinos y los mercados.","Agricultura y Desarrollo Rural","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","1805762","SI","1"
"R-AO-18-348","2018-01-01T00:00:00.000","Brigadas de Paz Internacional - pbi  colombia 2018","A través del acompañamiento internacional y la observación, se busca proteger el espacio de trabajo de las organizaciones, comunidades y defensores de derechos humanos en Colombia","2018-01-01T00:00:00.000","2019-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.3 Garantía del goce efectivo de derechos de las víctimas.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz/5.6.1. Promoción, respeto y garantía de los derechos humanos","16.10.Garantizar el acceso público a la información y proteger las libertades fundamentales, de conformidad con la legislación nacional y los acuerdos internacionales.","Interior","BRIGADAS INTERNACIONALES DE PAZ - PBI","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/ASOCIACIONES Y OTROS","Colombia","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-18-348","2018-01-01T00:00:00.000","Brigadas de Paz Internacional - pbi  colombia 2018","A través del acompañamiento internacional y la observación, se busca proteger el espacio de trabajo de las organizaciones, comunidades y defensores de derechos humanos en Colombia","2018-01-01T00:00:00.000","2019-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.3 Garantía del goce efectivo de derechos de las víctimas.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz/5.6.1. Promoción, respeto y garantía de los derechos humanos","16.10.Garantizar el acceso público a la información y proteger las libertades fundamentales, de conformidad con la legislación nacional y los acuerdos internacionales.","Interior","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","362845","SI","1"
"R-AO-18-350","2018-01-01T00:00:00.000","SAIH - Apoyo a la sociedad civil 2018-2021","fortalecer la libertad académica y la inclusión de grupos marginados a  educación de alta calidad. Los principales grupos objetivo son los pueblos indígenas y afrodescendientes, lesbianas, gays,
Bisexuales y transpersonales (LGBT +), mujeres y estudiantes, docentes y académicos.","2018-01-01T00:00:00.000","2021-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.4 Promoción, respeto y protección de Derechos Humanos.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz/5.6.1. Promoción, respeto y garantía de los derechos humanos","10.3.Garantizar la igualdad de oportunidades y reducir las desigualdades de los resultados, en particular mediante la eliminación de leyes, políticas y prácticas discriminatorias y promover la legislación adecuada, las políticas y acciones en este sentido.","Interior","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","1620490.09","SI","1"
"R-AO-18-351","2018-01-01T00:00:00.000","sociedad civil como catalizador para la protección de la selva tropical basada en los derechos.","Los pueblos indígenas y las poblaciones locales que dependen de los bosques tienen la capacidad de definir y realizar sus necesidades de desarrollo dentro de los marcos de una gestión sostenible de los bosques pluviales basada en los derechos.
Los marcos políticos y legales previenen la destrucción de la selva tropical y garantizan los derechos humanos de los pueblos indígenas y los pueblos de los bosques. Reducción de la destrucción de la selva y violaciones de los derechos humanos.","2018-01-01T00:00:00.000","2022-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono.","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental/4.1.9. Sostenibilidad y recuperación ambiental","15.2.Para 2020, promover la implementación de la gestión sostenible de todos los tipos de bosques, detener la deforestación, restaurar los bosques degradados y aumentar la forestación y reforestación en un x% a nivel global.","Ambiente y Desarrollo Sostenible","FUNDACIÓN SELVA TROPICAL","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Costa Rica","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-18-351","2018-01-01T00:00:00.000","sociedad civil como catalizador para la protección de la selva tropical basada en los derechos.","Los pueblos indígenas y las poblaciones locales que dependen de los bosques tienen la capacidad de definir y realizar sus necesidades de desarrollo dentro de los marcos de una gestión sostenible de los bosques pluviales basada en los derechos.
Los marcos políticos y legales previenen la destrucción de la selva tropical y garantizan los derechos humanos de los pueblos indígenas y los pueblos de los bosques. Reducción de la destrucción de la selva y violaciones de los derechos humanos.","2018-01-01T00:00:00.000","2022-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono.","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental/4.1.9. Sostenibilidad y recuperación ambiental","15.2.Para 2020, promover la implementación de la gestión sostenible de todos los tipos de bosques, detener la deforestación, restaurar los bosques degradados y aumentar la forestación y reforestación en un x% a nivel global.","Ambiente y Desarrollo Sostenible","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","3279264","SI","1"
"R-AO-18-353","2018-01-01T00:00:00.000","Caritas Zero Hunger - Empoderar a las comunidades rurales para el desarrollo sostenible","El objetivo principal del programa es acabar con la pobreza y el hambre en línea con los ODS 1 y 2, a través de la mejora de la seguridad alimentaria y el aumento de los ingresos de los hogares rurales de pequeños propietarios.","2018-01-01T00:00:00.000","2021-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/02. Movilidad social/2.3 Mínimos vitales fortalecimiento de las capacidades de la población en pobreza extrema.","1. FOCALIZAR Y DINAMIZAR/C. Desarrollo Rural Sostenible/1.6.8. Protección social rural","2.1Para 2030 erradicar el hambre y asegurar el acceso de todas las personas, en particular de los pobres y de las personas en situación de vulnerabilidad, incluyendo los infantes, a alimentos seguros, nutritivos y suficientes durante todo el año.","Inclusión Social y Reconciliación","CARITAS NORWAY","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Noruega","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-18-353","2018-01-01T00:00:00.000","Caritas Zero Hunger - Empoderar a las comunidades rurales para el desarrollo sostenible","El objetivo principal del programa es acabar con la pobreza y el hambre en línea con los ODS 1 y 2, a través de la mejora de la seguridad alimentaria y el aumento de los ingresos de los hogares rurales de pequeños propietarios.","2018-01-01T00:00:00.000","2021-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/02. Movilidad social/2.3 Mínimos vitales fortalecimiento de las capacidades de la población en pobreza extrema.","1. FOCALIZAR Y DINAMIZAR/C. Desarrollo Rural Sostenible/1.6.8. Protección social rural","2.1Para 2030 erradicar el hambre y asegurar el acceso de todas las personas, en particular de los pobres y de las personas en situación de vulnerabilidad, incluyendo los infantes, a alimentos seguros, nutritivos y suficientes durante todo el año.","Inclusión Social y Reconciliación","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","3263485","SI","1"
"R-AO-18-354","2018-01-01T00:00:00.000","CFI 2018-2020 Programa de Pueblos del Bosque - Enfoque en la primera línea","El proyecto buscará abordar los impulsores de deforestación directos y subyacentes y reducir las emisiones de cambio en el uso de la tierra relacionadas con la agricultura industrial y las industrias extractivas. FPP y sus socios contribuirán a este objetivo a través de la recopilación de evidencia local, la finalización de los análisis de brechas y el uso de mecanismos de reparación junto con la promoción enfocada y el intercambio de propuestas de reforma de la cadena de suministro y las mejores prácticas.","2018-01-01T00:00:00.000","2020-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono.","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental/4.1.9. Sostenibilidad y recuperación ambiental","15.2.Para 2020, promover la implementación de la gestión sostenible de todos los tipos de bosques, detener la deforestación, restaurar los bosques degradados y aumentar la forestación y reforestación en un x% a nivel global.","Ambiente y Desarrollo Sostenible","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","596959","SI","1"
"R-AO-18-354","2018-01-01T00:00:00.000","CFI 2018-2020 Programa de Pueblos del Bosque - Enfoque en la primera línea","El proyecto buscará abordar los impulsores de deforestación directos y subyacentes y reducir las emisiones de cambio en el uso de la tierra relacionadas con la agricultura industrial y las industrias extractivas. FPP y sus socios contribuirán a este objetivo a través de la recopilación de evidencia local, la finalización de los análisis de brechas y el uso de mecanismos de reparación junto con la promoción enfocada y el intercambio de propuestas de reforma de la cadena de suministro y las mejores prácticas.","2018-01-01T00:00:00.000","2020-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono.","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental/4.1.9. Sostenibilidad y recuperación ambiental","15.2.Para 2020, promover la implementación de la gestión sostenible de todos los tipos de bosques, detener la deforestación, restaurar los bosques degradados y aumentar la forestación y reforestación en un x% a nivel global.","Ambiente y Desarrollo Sostenible","PROGRAMA DE LOS PUEBLOS DEL BOSQUE","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Reino Unido","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-18-355","2018-01-01T00:00:00.000","avance  de la agenda de flujos financieros ilícitos a través de asociaciones y  su divulgación","Global Financial Integrity - GFI centrará sus esfuerzos en involucrar a los grupos de la sociedad civil de los países en desarrollo en temas relacionados con la transparencia financiera y la lucha contra la corrupción en relación con los flujos financieros ilícitos","2018-01-01T00:00:00.000","2020-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/05. Buen gobierno/5.1 Lucha contra la corrupción, transparencia y rendición de cuentas.","1. FOCALIZAR Y DINAMIZAR/D. Otro","16.5.Reducir sustancialmente la corrupción y el soborno en todas sus formas.","Interior","GLOBAL FINANCIAL INTEGRITY","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/ACADEMIA (Universidades, Centros de Investigación)","Estados Unidos","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-18-355","2018-01-01T00:00:00.000","avance  de la agenda de flujos financieros ilícitos a través de asociaciones y  su divulgación","Global Financial Integrity - GFI centrará sus esfuerzos en involucrar a los grupos de la sociedad civil de los países en desarrollo en temas relacionados con la transparencia financiera y la lucha contra la corrupción en relación con los flujos financieros ilícitos","2018-01-01T00:00:00.000","2020-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/05. Buen gobierno/5.1 Lucha contra la corrupción, transparencia y rendición de cuentas.","1. FOCALIZAR Y DINAMIZAR/D. Otro","16.5.Reducir sustancialmente la corrupción y el soborno en todas sus formas.","Interior","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","635088","SI","1"
"R-AO-18-356","2018-01-01T00:00:00.000","Solidaridad NICFI 2018-2021 Colombia, Peru and Brazil","Ampliación y aceleración de las cadenas de suministro libres de deforestación a través de asociaciones público-privadas","2018-01-01T00:00:00.000","2021-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono.","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental/4.1.9. Sostenibilidad y recuperación ambiental","15.2.Para 2020, promover la implementación de la gestión sostenible de todos los tipos de bosques, detener la deforestación, restaurar los bosques degradados y aumentar la forestación y reforestación en un x% a nivel global.","Ambiente y Desarrollo Sostenible","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","1910617","SI","1"
"R-AO-18-356","2018-01-01T00:00:00.000","Solidaridad NICFI 2018-2021 Colombia, Peru and Brazil","Ampliación y aceleración de las cadenas de suministro libres de deforestación a través de asociaciones público-privadas","2018-01-01T00:00:00.000","2021-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono.","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental/4.1.9. Sostenibilidad y recuperación ambiental","15.2.Para 2020, promover la implementación de la gestión sostenible de todos los tipos de bosques, detener la deforestación, restaurar los bosques degradados y aumentar la forestación y reforestación en un x% a nivel global.","Ambiente y Desarrollo Sostenible","SOLIDARIDAD NETWORK","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Países Bajos","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-18-357","2018-01-01T00:00:00.000","Fortalecimiento de los actores de la rendición de cuentas para mejorar la gobernabilidad","mejorar las decisiones sobre la gobernanza de los recursos y reducir la corrupción al aumentar los actores de la rendición de cuentas, especialmente la sociedad civil y los medios de comunicación, el acceso a los datos y la capacidad para utilizar esos datos para informar el diálogo sobre políticas.","2018-01-01T00:00:00.000","2021-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/05. Buen gobierno/5.1 Lucha contra la corrupción, transparencia y rendición de cuentas.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz/4.3.4. Estrategia de Lucha contra la Corrupción","16.5.Reducir sustancialmente la corrupción y el soborno en todas sus formas.","Interior","NATURAL RESOURCE GOVERNANCE INSTITUTE","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Estados Unidos","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-18-357","2018-01-01T00:00:00.000","Fortalecimiento de los actores de la rendición de cuentas para mejorar la gobernabilidad","mejorar las decisiones sobre la gobernanza de los recursos y reducir la corrupción al aumentar los actores de la rendición de cuentas, especialmente la sociedad civil y los medios de comunicación, el acceso a los datos y la capacidad para utilizar esos datos para informar el diálogo sobre políticas.","2018-01-01T00:00:00.000","2021-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/05. Buen gobierno/5.1 Lucha contra la corrupción, transparencia y rendición de cuentas.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz/4.3.4. Estrategia de Lucha contra la Corrupción","16.5.Reducir sustancialmente la corrupción y el soborno en todas sus formas.","Interior","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","180351","SI","1"
"R-AO-18-358","2018-01-01T00:00:00.000","accion humanitaria contra minas - putumayo","Encuesta no técnica, educación sobre riesgos mineros y desmonte en municipios locales.","2018-01-01T00:00:00.000","2019-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.8 Acción Integral contra Minas Antipersonal.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz/5.6.1. Promoción, respeto y garantía de los derechos humanos","16.1.Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.","Presidencia de la República","CAMPAÑA COLOMBIANA CONTRA MINAS","NACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Ejecutor","| Asistencia Técnica","0","SI","1"
"R-AO-18-358","2018-01-01T00:00:00.000","accion humanitaria contra minas - putumayo","Encuesta no técnica, educación sobre riesgos mineros y desmonte en municipios locales.","2018-01-01T00:00:00.000","2019-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.8 Acción Integral contra Minas Antipersonal.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz/5.6.1. Promoción, respeto y garantía de los derechos humanos","16.1.Reducir significativamente todas las formas de violencia y las tasas de mortalidad relacionadas en todas partes.","Presidencia de la República","NORUEGA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Noruega","| Donante","| Asistencia Financiera","633471","SI","1"
"R-AO-18-361","2018-01-01T00:00:00.000","Acuerdo de Cooperación Mundial de la Cruz Roja Noruega 2018-2020.","Acuerdo de ASOCIACIÓN","2018-01-01T00:00:00.000","2020-12-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/02. Movilidad social/2.3 Mínimos vitales fortalecimiento de las capacidades de la población en pobreza extrema.","1. FOCALIZAR Y DINAMIZAR/D. Otro","10.2.Para 2030 potenciar y promover la inclusión social, económica y política de todos independientemente de la edad, sexo, discapacidad, raza, etnia, origen, religión o condición económica o de otro tipo.","Presidencia de la República","CRUZ ROJA NORUEGA","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/ASOCIACIONES Y OTROS","Noruega","| Ejecutor","| Asistencia Técnica","0","SI","1"
